timestamp,id,extended_id,RX,remote_frame,error_frame,dlc,rotor_count_hex,rotor_speed_hex,current_hex
1678405864.4951007,0x201,0,1,0,0,8,06AF,FFF1,FF4C
1678405864.4959652,0x201,0,1,0,0,8,06AE,FFED,FF4C
1678405864.4972706,0x201,0,1,0,0,8,06AA,FFED,FF93
1678405864.4980366,0x201,0,1,0,0,8,06A8,FFED,FF4C
1678405864.4989984,0x201,0,1,0,0,8,06A4,FFEA,FF93
1678405864.5002697,0x201,0,1,0,0,8,069E,FFDF,FF5C
1678405864.5009983,0x201,0,1,0,0,8,069A,FFDF,FF5C
1678405864.501972,0x201,0,1,0,0,8,0694,FFDB,FF5B
1678405864.5032408,0x201,0,1,0,0,8,068D,FFD0,FF59
1678405864.5040004,0x201,0,1,0,0,8,0683,FFCC,FF9A
1678405864.5047836,0x201,0,1,0,0,8,067A,FFC1,FF98
1678405864.5061166,0x201,0,1,0,0,8,066C,FFAF,FF94
1678405864.5069554,0x201,0,1,0,0,8,0660,FFAF,FF92
1678405864.5077975,0x201,0,1,0,0,8,0651,FFA0,FF81
1678405864.5090985,0x201,0,1,0,0,8,063B,FF87,FF46
1678405864.509884,0x201,0,1,0,0,8,062A,FF87,FF6F
1678405864.5111299,0x201,0,1,0,0,8,0611,FF66,FFB1
1678405864.5120685,0x201,0,1,0,0,8,05FC,FF66,FF63
1678405864.5129356,0x201,0,1,0,0,8,05EE,FF66,FFAA
1678405864.5137963,0x201,0,1,0,0,8,05DA,FF69,FF62
1678405864.5150828,0x201,0,1,0,0,8,05C5,FF74,FF68
1678405864.5158675,0x201,0,1,0,0,8,05B7,FF74,FF65
1678405864.5168037,0x201,0,1,0,0,8,05A8,FF7F,FF67
1678405864.5176709,0x201,0,1,0,0,8,0599,FF87,FF6B
1678405864.518932,0x201,0,1,0,0,8,0588,FF95,FFA5
1678405864.5196896,0x201,0,1,0,0,8,057F,FF95,FF60
1678405864.5209804,0x201,0,1,0,0,8,0573,FFAB,FF79
1678405864.5217345,0x201,0,1,0,0,8,056A,FFAB,FFD6
1678405864.5230155,0x201,0,1,0,0,8,0561,FFBA,FF8B
1678405864.5237195,0x201,0,1,0,0,8,055A,FFBA,FF64
1678405864.5250168,0x201,0,1,0,0,8,0554,FFC1,FF8A
1678405864.5257547,0x201,0,1,0,0,8,054D,FFD0,FFAF
1678405864.526752,0x201,0,1,0,0,8,0549,FFD0,FF68
1678405864.527705,0x201,0,1,0,0,8,0546,FFD7,FFB1
1678405864.5289655,0x201,0,1,0,0,8,0544,FFEA,FF89
1678405864.5297363,0x201,0,1,0,0,8,0543,FFF5,FF89
1678405864.5305824,0x201,0,1,0,0,8,0544,FFF5,FF89
1678405864.5319479,0x201,0,1,0,0,8,0545,0003,FF88
1678405864.5327044,0x201,0,1,0,0,8,0548,000A,FF88
1678405864.5336366,0x201,0,1,0,0,8,054A,000A,FF89
1678405864.534901,0x201,0,1,0,0,8,054F,0012,FF89
1678405864.5356755,0x201,0,1,0,0,8,0552,0015,FF65
1678405864.5365453,0x201,0,1,0,0,8,0554,0015,FF65
1678405864.537838,0x201,0,1,0,0,8,0558,0019,FF64
1678405864.5385497,0x201,0,1,0,0,8,055A,0019,FF3D
1678405864.5398629,0x201,0,1,0,0,8,055E,0012,FF63
1678405864.540631,0x201,0,1,0,0,8,055F,0012,FF83
1678405864.5415943,0x201,0,1,0,0,8,0561,0012,FF62
1678405864.5425282,0x201,0,1,0,0,8,0562,000A,FF63
