timestamp,id,extended_id,RX,remote_frame,error_frame,dlc,rotor_count_hex,rotor_speed_hex,current_hex,shaft_angle
1678580766.5573056,0x201,0,1,0,0,8,0C90,0000,FF9C,0.06851780852555864
1678580766.5582478,0x201,0,1,0,0,8,0C90,0000,FF9C,0.06851780852555864
1678580766.559205,0x201,0,1,0,0,8,0C90,0000,FF9C,0.06851780852555864
1678580766.560224,0x201,0,1,0,0,8,0C90,0000,FF9B,0.06851780852555864
1678580766.561226,0x201,0,1,0,0,8,0C90,0000,FF5C,0.06851780852555864
1678580766.5621648,0x201,0,1,0,0,8,0C90,0000,FF9B,0.06851780852555864
1678580766.5631883,0x201,0,1,0,0,8,0C90,0000,FF9C,0.06851780852555864
1678580766.5643725,0x201,0,1,0,0,8,0C90,0000,FF9C,0.06851780852555864
1678580766.5651572,0x201,0,1,0,0,8,0C90,0000,FF9B,0.06851780852555864
1678580766.5664837,0x201,0,1,0,0,8,0C90,0000,FF9C,0.06851780852555864
1678580766.5671573,0x201,0,1,0,0,8,0C90,0000,FF9C,0.06851780852555864
1678580766.568413,0x201,0,1,0,0,8,0C90,0000,FF9C,0.06851780852555864
1678580766.569139,0x201,0,1,0,0,8,0C90,0000,FF9B,0.06851780852555864
1678580766.5703206,0x201,0,1,0,0,8,0C90,0000,FF9B,0.06851780852555864
1678580766.571367,0x201,0,1,0,0,8,0C90,0000,FF9C,0.06851780852555864
1678580766.5724978,0x201,0,1,0,0,8,0C90,0000,FF9C,0.06851780852555864
1678580766.5732732,0x201,0,1,0,0,8,0C90,0000,FF9B,0.06851780852555864
1678580766.5741088,0x201,0,1,0,0,8,0C90,0000,FF9C,0.06851780852555864
1678580766.5754154,0x201,0,1,0,0,8,0C90,0000,FF9B,0.06851780852555864
1678580766.5761108,0x201,0,1,0,0,8,0C90,0000,FF9B,0.06851780852555864
1678580766.577251,0x201,0,1,0,0,8,0C90,0000,FF9C,0.06851780852555864
1678580766.5780926,0x201,0,1,0,0,8,0C90,0000,FF9C,0.06851780852555864
1678580766.5793674,0x201,0,1,0,0,8,0C90,0000,FF9C,0.06851780852555864
1678580766.5800703,0x201,0,1,0,0,8,0C90,0000,FF9B,0.06851780852555864
1678580766.5812533,0x201,0,1,0,0,8,0C90,0000,FF9C,0.06851780852555864
1678580766.582006,0x201,0,1,0,0,8,0C90,0000,FF5C,0.06851780852555864
1678580766.583233,0x201,0,1,0,0,8,0C90,0000,FF9B,0.06851780852555864
1678580766.5840194,0x201,0,1,0,0,8,0C90,0000,FF9B,0.06851780852555864
1678580766.5852206,0x201,0,1,0,0,8,0C90,0000,FF9C,0.06851780852555864
1678580766.5859942,0x201,0,1,0,0,8,0C90,0000,FF9B,0.06851780852555864
1678580766.5872064,0x201,0,1,0,0,8,0C90,0000,FF9B,0.06851780852555864
1678580766.5879433,0x201,0,1,0,0,8,0C90,0000,FF9B,0.06851780852555864
1678580766.5891743,0x201,0,1,0,0,8,0C90,0000,FF9C,0.06851780852555864
1678580766.589968,0x201,0,1,0,0,8,0C90,0000,FF9B,0.06851780852555864
1678580766.5909197,0x201,0,1,0,0,8,0C90,0000,FF9C,0.06851780852555864
1678580766.592139,0x201,0,1,0,0,8,0C90,0000,FF9B,0.06851780852555864
1678580766.5928915,0x201,0,1,0,0,8,0C90,0000,FF9B,0.06851780852555864
1678580766.5941062,0x201,0,1,0,0,8,0C90,0000,FF9B,0.06851780852555864
1678580766.5948627,0x201,0,1,0,0,8,0C90,0000,FF9B,0.06851780852555864
1678580766.5962038,0x201,0,1,0,0,8,0C90,0000,FF9B,0.06851780852555864
1678580766.5968573,0x201,0,1,0,0,8,0C90,0000,FF9B,0.06851780852555864
1678580766.5980296,0x201,0,1,0,0,8,0C90,0000,FF9B,0.06851780852555864
1678580766.5988765,0x201,0,1,0,0,8,0C90,0000,FF9B,0.06851780852555864
1678580766.6000319,0x201,0,1,0,0,8,0C90,0000,FF9C,0.06851780852555864
1678580766.6010656,0x201,0,1,0,0,8,0C90,0000,FF5C,0.06851780852555864
1678580766.6018581,0x201,0,1,0,0,8,0C90,0000,FF9C,0.06851780852555864
1678580766.6030328,0x201,0,1,0,0,8,0C90,0000,FF9B,0.06851780852555864
1678580766.6038127,0x201,0,1,0,0,8,0C90,0000,FF9B,0.06851780852555864
1678580766.6049745,0x201,0,1,0,0,8,0C90,0000,FF9B,0.06851780852555864
1678580766.6060057,0x201,0,1,0,0,8,0C90,0000,FF9B,0.06851780852555864
1678580766.6068077,0x201,0,1,0,0,8,0C90,0000,FF9B,0.06851780852555864
1678580766.6079834,0x201,0,1,0,0,8,0C90,0000,FF9C,0.06851780852555864
1678580766.60872,0x201,0,1,0,0,8,0C90,0000,FF9B,0.06851780852555864
1678580766.6099074,0x201,0,1,0,0,8,0C90,0000,FF9B,0.06851780852555864
1678580766.6109395,0x201,0,1,0,0,8,0C90,0000,FF5C,0.06851780852555864
1678580766.6119912,0x201,0,1,0,0,8,0C90,0000,FF9C,0.06851780852555864
1678580766.61273,0x201,0,1,0,0,8,0C90,0000,FF9B,0.06851780852555864
1678580766.6139088,0x201,0,1,0,0,8,0C90,0000,FF9B,0.06851780852555864
1678580766.6146817,0x201,0,1,0,0,8,0C90,0000,FF9C,0.06851780852555864
1678580766.6159108,0x201,0,1,0,0,8,0C90,0000,FF9C,0.06851780852555864
1678580766.6166608,0x201,0,1,0,0,8,0C90,0000,FF9B,0.06851780852555864
1678580766.6178505,0x201,0,1,0,0,8,0C90,0000,FF9C,0.06851780852555864
1678580766.6187,0x201,0,1,0,0,8,0C90,0000,FF9B,0.06851780852555864
1678580766.6198742,0x201,0,1,0,0,8,0C90,0000,FF9B,0.06851780852555864
1678580766.6206405,0x201,0,1,0,0,8,0C90,0000,FF9C,0.06851780852555864
1678580766.6220596,0x201,0,1,0,0,8,0C90,0000,FF9C,0.06851780852555864
1678580766.6226645,0x201,0,1,0,0,8,0C90,0000,FF9B,0.06851780852555864
1678580766.6236386,0x201,0,1,0,0,8,0C90,0000,FF9C,0.06851780852555864
